Id,Url,Height,Width,Iso,Make,Model,QF
51754420263,https://live.staticflickr.com/65535/51754420263_3f658ccf2e_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51755049455,https://live.staticflickr.com/65535/51755049455_6ecd0862c8_o.jpg,3456,5184,400.0,Canon,Canon EOS 100D,98.0
51749766589,https://live.staticflickr.com/65535/51749766589_83c2314e7c_o.jpg,3456,5184,200.0,Canon,Canon EOS 100D,98.0
51747502190,https://live.staticflickr.com/65535/51747502190_e6c900ff29_o.jpg,2322,4128,800.0,samsung,SM-J330FN,98.0
51742073540,https://live.staticflickr.com/65535/51742073540_0b1e665254_o.jpg,3456,5184,200.0,Canon,Canon EOS 100D,98.0
51735511814,https://live.staticflickr.com/65535/51735511814_e433a6c857_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51735098673,https://live.staticflickr.com/65535/51735098673_ab139c8772_o.jpg,3456,5184,500.0,Canon,Canon EOS 100D,98.0
51728130501,https://live.staticflickr.com/65535/51728130501_beb0a3b5b6_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51728779319,https://live.staticflickr.com/65535/51728779319_55ae2951f5_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51717257428,https://live.staticflickr.com/65535/51717257428_d02cc29830_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51716998791,https://live.staticflickr.com/65535/51716998791_3bd890691a_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51710858725,https://live.staticflickr.com/65535/51710858725_3ed7324f45_o.jpg,3456,5184,800.0,Canon,Canon EOS 100D,98.0
51710579309,https://live.staticflickr.com/65535/51710579309_a0ee1cfc31_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51710175953,https://live.staticflickr.com/65535/51710175953_12435453e2_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51705709586,https://live.staticflickr.com/65535/51705709586_9ba00d28a3_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51701804413,https://live.staticflickr.com/65535/51701804413_c7eff6b79a_o.jpg,3456,5184,125.0,Canon,Canon EOS 100D,98.0
51695284210,https://live.staticflickr.com/65535/51695284210_4e1d30cb56_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51685104887,https://live.staticflickr.com/65535/51685104887_0e688e63d2_o.jpg,3456,5184,200.0,Canon,Canon EOS 100D,98.0
51686572524,https://live.staticflickr.com/65535/51686572524_cb85d13b21_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51681320368,https://live.staticflickr.com/65535/51681320368_c15267c1cd_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51681733154,https://live.staticflickr.com/65535/51681733154_9bb137ac7f_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51675329770,https://live.staticflickr.com/65535/51675329770_cf8511c195_o.jpg,3456,5184,1000.0,Canon,Canon EOS 100D,98.0
51673866371,https://live.staticflickr.com/65535/51673866371_d622b97f84_o.jpg,3456,5184,320.0,Canon,Canon EOS 100D,98.0
51674100393,https://live.staticflickr.com/65535/51674100393_15482d8d1c_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
51672955207,https://live.staticflickr.com/65535/51672955207_ef018c9060_o.jpg,3456,5184,800.0,Canon,Canon EOS 100D,98.0
51669304391,https://live.staticflickr.com/65535/51669304391_d6e25d292d_o.jpg,3456,5184,100.0,Canon,Canon EOS 100D,98.0
